1	4295	2007	12	13	6	Column	Bauman	Chris	SB	Regina	Column2	Column3	2013-05-09 09:45:44
2	1805	2007	1	2	3		Kean	Warren	K	Concordia			2013-05-09 09:46:01
3	2125	2007	1	3	2	via WPG	Gyetvai	Mike	G	Michigan State			2013-05-09 09:46:27
4	2747	2007	1	4	6	via SSK	Bekasiak	J.P.	DT	Toledo			2013-05-09 09:46:51
5	1987	2007	1	5	2	via TOR	Phillips	Justin	DE	Wilfrid Laurier			2013-05-09 09:47:10
6	1629	2007	1	6	2		Arthur	Jabari	SB	Akron			2013-05-09 09:47:50
7	2137	2007	1	7	9		Yalowsky	Richard	T	Calgary			2013-05-09 09:48:52
8	6031	2007	1	8	1		Nicolson	Adam	SB	Ottawa			2013-05-09 09:52:17
9	6033	2007	2	9	4	via HAM	McKoy	David	SB	Guelph			2013-05-09 09:55:14
10	1947	2007	2	10	3		Nedd	Jason	S	Akron			2013-05-09 09:55:36
11	1969	2007	2	11	5		Mace	Corey	DT	Wyoming			2013-05-09 09:55:59
12	6035	2007	2	12	6	via SSK	Rempel	Jordan	G	Saskatchewan			2013-05-09 10:00:17
13	2019	2007	2	13	6	via EDM via TOR	Ince	Eric	C	Saint Mary's			2013-05-09 10:00:48
14	6037	2007	2	14	2		Challenger	Kevin	SB	Boston College			2013-05-09 10:02:56
15	2143	2007	2	15	9		Conrad	Darryl	G	Manitoba			2013-05-09 10:03:44
16	2115	2007	2	16	1		Bean	Josh	LB	Boise State			2013-05-09 10:04:14
17	1233	2007	3	17	1	via HAM	Crawford	Tad	S	Columbia			2013-05-09 10:04:26
18	1973	2007	3	18	9	via EDM	Van Zeyl	Chris	T	McMaster			2013-05-09 10:04:58
19	2141	2007	3	19	9	via HAM via WPG	Jones	Brian	C	Windsor			2013-05-09 10:05:38
20	1983	2007	3	20	4		Carter	Yannick	LB	Wilfrid Laurier			2013-05-09 10:05:57
21	2145	2007	3	21	2	via TOR	MacDonald	Pat	DE	Alberta			2013-05-09 10:07:36
22	2135	2007	3	22	5	via CGY	Boakye	Eugene	S	McMaster			2013-05-09 10:07:53
23	2129	2007	3	23	9		Alexander	Donovan	S	North Dakota			2013-05-09 10:08:15
24	6039	2007	3	24	1		Sadeghian	Andre	FB	McMaster			2013-05-09 10:21:46
25	6041	2007	4	25	6	via MTL via HAM	Pavlovic	Robert	FB	South Carolina			2013-05-09 10:26:10
26	1971	2007	4	26	3		Jean-Louis	Michael	DT	Laval			2013-05-09 10:27:29
27	2133	2007	4	27	3	via WPG	McCarty	Calvin	RB	Western Washington			2013-05-09 10:27:45
28	2147	2007	4	28	4		Ackerman	Ryan	G	Regina			2013-05-09 10:28:17
29	6043	2007	4	29	7		Maranda	Eric	LB	Laval			2013-05-09 10:32:01
30	6045	2007	4	30	7	via CGY	Schmidt	Steve	FB	San Diego State			2013-05-09 10:34:25
31	2123	2007	4	31	9		Judges	James	DE	Buffalo			2013-05-09 10:38:26
32	1975	2007	4	32	1		Jones	Andrew	G	McMaster			2013-05-09 10:39:28
33	1999	2007	5	33	6		Getzlaf	Chris	SB	Regina			2013-05-09 10:40:01
34	2131	2007	5	34	4	via WPG via EDM	Bradshaw	Reggie	RB	Montana			2013-05-09 10:40:39
35	2339	2007	5	35	2	via WPG	Bekkering	Henry	K	Eastern Washington			2013-05-09 10:41:18
36	6049	2007	5	36	6	via SSK	Kordic	Nick	LB	Western			2013-05-09 10:46:23
37	2151	2007	5	37	7		Simms	Sean	DE	York			2013-05-09 10:47:28
38	2263	2007	5	38	2		Hazlett	Ian	LB	Queen's			2013-05-09 10:48:40
39	2021	2007	5	39	4	via MTL	Karhut	Ryan	G	Manitoba			2013-05-09 10:49:19
40	2155	2007	5	40	1		Kirkwood	Kyle	T	Ottawa			2013-05-09 10:50:28
41	2157	2007	6	41	6		Goncalves	Michael	DE	Toronto			2013-05-09 10:51:55
42	1953	2007	6	42	5		Noel	Travis	S	St. Francis Xavier			2013-05-09 10:52:17
43	2241	2007	6	43	6	via SSK	Kania	Adam	DE	St. Francis Xavier			2013-05-09 10:52:50
44	429	2007	6	44	7		Smith	Brad	WR	Queen's			2013-05-09 10:53:07
45	2003	2007	6	45	2		Hetherington	Greg	SB	McGill			2013-05-09 10:53:44
46	2159	2007	6	46	9		Smith	Braden	QB	UBC			2013-05-09 10:54:04
47	2161	2007	6	47	1		Edgson	Nic	S	Idaho State			2013-05-09 10:55:03
48	NULL	2007	6	0	3	Forfeits Choice	---	---		 			2013-05-09 10:51:00
49	6053	2006	1	1	3		Braidwood	Adam	DE	Washington State			2013-05-09 10:56:53
50	1391	2006	1	2	1		Pottinger	Jason	LB	McMaster			2013-05-09 10:57:17
51	4579	2006	1	3	4		Fantuz	Andy	SB	Western Ontario			2013-05-09 10:57:44
52	2953	2006	1	4	1		Foley	Ricky	DE	York			2013-05-09 10:58:06
53	1167	2006	1	5	7		Federkeil	Daniel	T	Calgary			2013-05-09 10:58:23
54	1389	2006	1	6	1		Valli	Dean	G	Simon Fraser			2013-05-09 11:01:38
55	1253	2006	1	7	9		Deslauriers	Eric	SB	Eastern Michigan			2013-05-09 11:04:35
56	3267	2006	1	8	6		Gagne-Marcoux	Cedric	G	Central Florida			2013-05-09 11:05:08
57	2815	2006	2	9	6		Reid	Jermaine	DT	Akron			2013-05-09 11:31:37
58	1187	2006	2	10	7		Mitchell	Leron	CB	Western			2013-05-09 11:32:04
59	1241	2006	2	11	6		Dyakowski	Peter	G	Louisiana State			2013-05-09 11:32:19
60	1265	2006	2	12	4		Congi	Luca	K	Simon Fraser			2013-05-09 11:32:33
61	1255	2006	2	13	2		Cornish	Jon	RB	Kansas			2013-05-09 11:32:44
62	6055	2006	2	14	7		Wagner	Aaron	LB	Brigham Young			2013-05-09 11:34:42
63	1245	2006	2	15	1		Hameister-Ries	Jon	G	Tulsa			2013-05-09 11:35:13
64	1183	2006	2	16	9		Boulay	Etienne	S	New Hampsphire			2013-05-09 11:36:09
65	4249	2006	2	17	3		Nugent	Jason	S	Rutgers			2013-05-09 11:37:18
66	1341	2006	3	18	6		Mayne	Shawn	DE	Connecticut			2013-05-09 11:37:41
67	4011	2006	3	19	5		Franklin	Arjei	WR	Windsor			2013-05-09 11:37:56
68	1267	2006	3	20	4		Cowan	Chris	G	Saint Mary's			2013-05-09 11:38:50
69	1157	2006	3	21	3		Mundle	Dwayne	LB	West Virginia			2013-05-09 11:39:04
70	1191	2006	3	22	4		Clovis	Tristan	S	McMaster			2013-05-09 11:39:30
71	1133	2006	3	23	5		Picard	Dominic	C	Laval			2013-05-09 11:39:45
72	1247	2006	3	24	9		Perrett	Jeff	T	Tulsa			2013-05-09 11:40:02
73	1237	2006	3	25	3		Williams	Mike	DE	Boise State			2013-05-09 11:40:16
